epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6053,1.18718,1.41698,1.05705,0.99282,0.81481,0.90272,0.59186,1.22928,1.7572,1.11863,0.000625,0.000625,0.000625
2,31.7831,1.22731,1.36244,1.11026,0.87054,0.88889,0.83021,0.52606,1.28218,1.72412,1.11985,0.00126609,0.00126609,0.00126609
3,47.6988,1.16185,1.42046,1.0659,0.15289,0.66667,0.14702,0.0849,1.22083,6.39231,1.17774,0.00188078,0.00188078,0.00188078
4,63.4249,1.18631,1.39896,1.09687,0.01368,0.77778,0.01185,0.00713,1.26563,100.49,1.24698,0.0018812,0.0018812,0.0018812
5,79.1702,1.22501,1.27425,1.09003,0.01153,0.66667,0.00915,0.00525,1.46625,77.9548,1.43011,0.0018416,0.0018416,0.0018416
6,94.5667,1.21319,1.32765,1.14542,0.38475,0.39406,0.40663,0.26664,1.29075,2.89743,1.23311,0.001802,0.001802,0.001802
7,109.935,1.23116,1.19874,1.08231,0.89293,0.7037,0.7969,0.47581,1.34815,1.70035,1.20142,0.0017624,0.0017624,0.0017624
8,126.021,1.15087,1.08233,1.08848,0.94496,0.92593,0.94543,0.5672,1.30482,1.28095,1.18869,0.0017228,0.0017228,0.0017228
9,141.817,1.10412,1.07244,1.06691,0.95419,0.92593,0.95405,0.62222,1.18485,1.22971,1.14624,0.0016832,0.0016832,0.0016832
10,157.807,1.10267,1.10679,1.10094,0.98688,0.92593,0.95389,0.6209,1.20374,1.21396,1.16393,0.0016436,0.0016436,0.0016436
11,173.816,1.15885,1.04098,1.081,0.96144,0.92363,0.96093,0.63324,1.2036,1.1628,1.13774,0.001604,0.001604,0.001604
12,189.437,1.13521,1.04432,1.07987,0.95987,0.92593,0.95432,0.58979,1.21135,1.25362,1.1388,0.0015644,0.0015644,0.0015644
13,205.182,1.03586,0.94474,0.9954,0.98164,0.96296,0.9677,0.59262,1.26951,1.10876,1.16118,0.0015248,0.0015248,0.0015248
14,220.917,1.074,0.98696,1.06734,0.98604,0.96296,0.96523,0.57941,1.29365,1.10488,1.21794,0.0014852,0.0014852,0.0014852
15,236.58,1.01241,0.92909,1.03898,1,0.88171,0.94221,0.58976,1.23352,1.05577,1.16388,0.0014456,0.0014456,0.0014456
16,252.35,1.05699,0.90108,1.01778,1,0.84547,0.91432,0.60031,1.19496,1.08145,1.17776,0.001406,0.001406,0.001406
17,268.096,1.05767,0.89991,1.04523,0.95692,0.92593,0.95228,0.56126,1.32195,1.11592,1.23914,0.0013664,0.0013664,0.0013664
18,283.733,1.05879,0.85376,1.03615,0.96146,0.92401,0.95382,0.58612,1.22764,0.96229,1.17774,0.0013268,0.0013268,0.0013268
19,299.499,0.97539,0.82833,1.0099,0.95974,0.92593,0.95598,0.6025,1.23563,0.95017,1.18378,0.0012872,0.0012872,0.0012872
20,315.494,1.01935,0.87964,1.04111,0.95825,0.92593,0.96288,0.58757,1.21139,0.95039,1.19433,0.0012476,0.0012476,0.0012476
21,331.638,0.96074,0.7766,1.02134,0.99469,0.88889,0.95685,0.60077,1.21451,0.94027,1.1419,0.001208,0.001208,0.001208
22,348.114,0.95992,0.77802,0.99799,1,0.88513,0.96556,0.59437,1.1972,0.88028,1.14762,0.0011684,0.0011684,0.0011684
23,364.734,0.99356,0.79724,1.02147,1,0.87687,0.9741,0.62811,1.16332,0.85943,1.13834,0.0011288,0.0011288,0.0011288
24,380.563,0.99245,0.73665,1.01612,0.9613,0.92007,0.96707,0.62147,1.19347,0.83419,1.15679,0.0010892,0.0010892,0.0010892
25,396.476,0.942,0.76411,0.98819,0.96273,0.95678,0.96983,0.60505,1.20266,0.87492,1.15406,0.0010496,0.0010496,0.0010496
26,412.586,0.99748,0.77469,1.03887,0.96276,0.95779,0.96482,0.61198,1.26041,0.89982,1.18132,0.00101,0.00101,0.00101
27,428.254,0.9184,0.7259,0.963,0.92733,0.96296,0.97676,0.60975,1.26215,0.85082,1.1786,0.0009704,0.0009704,0.0009704
28,444.257,0.96586,0.7333,1.00867,0.92077,0.96296,0.97102,0.62756,1.21704,0.92545,1.15956,0.0009308,0.0009308,0.0009308
29,460.692,0.91703,0.71502,1.00117,0.89292,0.96296,0.96949,0.64567,1.17135,0.88809,1.14016,0.0008912,0.0008912,0.0008912
30,476.549,0.90935,0.70438,0.98385,0.92588,0.92535,0.9621,0.63689,1.15707,0.87072,1.11912,0.0008516,0.0008516,0.0008516
31,492.752,0.89283,0.65134,0.97677,0.92805,0.95562,0.95948,0.65739,1.08127,0.81781,1.09629,0.000812,0.000812,0.000812
32,508.666,0.90646,0.69727,1.00459,0.98698,0.88889,0.95804,0.66387,1.13196,0.77375,1.11228,0.0007724,0.0007724,0.0007724
33,525.418,0.96316,0.66688,0.98355,0.92836,0.95998,0.96804,0.60565,1.25448,0.83135,1.16187,0.0007328,0.0007328,0.0007328
34,541.169,0.84133,0.65167,0.98842,0.95906,0.96296,0.97965,0.6338,1.1878,0.78768,1.13586,0.0006932,0.0006932,0.0006932
35,556.761,0.89066,0.63847,0.98377,0.95783,0.96296,0.98547,0.66305,1.10929,0.75059,1.10926,0.0006536,0.0006536,0.0006536
36,572.465,0.89229,0.65415,0.96739,0.92115,0.96296,0.98259,0.6484,1.15549,0.76549,1.1174,0.000614,0.000614,0.000614
37,588.075,0.86647,0.63785,0.94908,0.96249,0.95068,0.98518,0.63313,1.22124,0.74681,1.13661,0.0005744,0.0005744,0.0005744
38,604.069,0.83726,0.6264,0.95869,0.96287,0.96043,0.98735,0.63887,1.16564,0.73945,1.11302,0.0005348,0.0005348,0.0005348
39,619.799,0.88332,0.64453,0.97529,0.96285,0.96004,0.98817,0.63961,1.16579,0.71531,1.11547,0.0004952,0.0004952,0.0004952
40,635.565,0.86197,0.62808,0.96611,0.95989,0.96296,0.98735,0.64128,1.18745,0.72136,1.13433,0.0004556,0.0004556,0.0004556
41,651.003,0.83235,0.66318,0.95954,0.95937,0.96296,0.98904,0.61527,1.18162,0.69839,1.13312,0.000416,0.000416,0.000416
42,666.937,0.82723,0.63365,0.97714,0.96413,0.99569,0.99107,0.64761,1.11216,0.68193,1.09343,0.0003764,0.0003764,0.0003764
